T,U,p,t,x
300.0,6.10898e-13,5000000.0,0.0002,0.525
300.0,7.23439e-14,5000000.0,0.0002,0.515
300.0,1.40668e-12,5000000.0,0.0002,0.505
300.0,8.03108e-15,5000000.0,0.0002,0.495
300.0,1.14946e-12,5000000.0,0.0002,0.485
300.0,7.2734e-19,5000000.0,0.0002,0.475
300.0,2.41147e-14,5000000.0,0.0002,0.465
300.0,9.64552e-14,5000000.0,0.0002,0.455
300.0,3.21525e-13,5000000.0,0.0002,0.445
300.0,4.98369e-13,5000000.0,0.0002,0.435
300.0,2.65261e-13,5000000.0,0.0002,0.425
300.0,5.7071e-13,5000000.0,0.0002,0.415
300.0,9.64586e-13,5000000.0,0.0002,0.405
300.0,9.00275e-13,5000000.0,0.0002,0.395
300.0,4.6622e-13,5000000.0,0.0002,0.385
300.0,1.84884e-13,5000000.0,0.0002,0.375
300.0,1.76836e-13,5000000.0,0.0002,0.365
300.0,3.21526e-13,5000000.0,0.0002,0.355
300.0,8.76164e-13,5000000.0,0.0002,0.345
300.0,9.16348e-13,5000000.0,0.0002,0.335
300.0,1.04496e-13,5000000.0,0.0002,0.325
300.0,5.54633e-13,5000000.0,0.0002,0.315
300.0,2.6526e-13,5000000.0,0.0002,0.305
300.0,1.44687e-12,5000000.0,0.0002,0.295
300.0,6.26981e-13,5000000.0,0.0002,0.285
300.0,2.08989e-13,5000000.0,0.0002,0.275
300.0,4.66212e-13,5000000.0,0.0002,0.265
300.0,7.79702e-13,5000000.0,0.0002,0.255
300.0,8.11856e-13,5000000.0,0.0002,0.245
300.0,3.29563e-13,5000000.0,0.0002,0.235
300.0,1.60761e-13,5000000.0,0.0002,0.225
300.0,9.72617e-13,5000000.0,0.0002,0.215
300.0,4.26023e-13,5000000.0,0.0002,0.205
300.0,3.37603e-13,5000000.0,0.0002,0.195
300.0,1.28609e-13,5000000.0,0.0002,0.185
300.0,8.76161e-13,5000000.0,0.0002,0.175
300.0,3.77796e-13,5000000.0,0.0002,0.165
300.0,5.2248e-13,5000000.0,0.0002,0.155
300.0,2.17029e-13,5000000.0,0.0002,0.145
300.0,3.98453e-11,5000000.0,0.0002,0.135
300.0,1.84911e-08,5000000.0,0.0002,0.125
300.0,5.64974e-06,5000000.0,0.0002,0.115
300.0,0.00116061,5000020.0,0.0002,0.105
300.052,0.159279,5003020.0,0.0002,0.095
304.302,12.8719,5253770.0,0.0002,0.085
329.135,80.8683,6884310.0,0.0002,0.075
330.556,84.9837,6985320.0,0.0002,0.065
330.857,85.7518,7004320.0,0.0002,0.055
330.985,85.8911,7007980.0,0.0002,0.045
331.139,85.9145,7008940.0,0.0002,0.035
330.273,85.9243,7009670.0,0.0002,0.025
284.345,86.333,7008510.0,0.0002,0.015
271.467,85.8974,7009710.0,0.0002,0.005
271.257,85.893,7010270.0,0.0002,-0.005
271.157,86.0191,7006820.0,0.0002,-0.015
270.972,86.4953,6993450.0,0.0002,-0.025
271.172,85.7504,7014520.0,0.0002,-0.035
274.38,75.8128,7313100.0,0.0002,-0.045
282.016,52.7508,8052920.0,0.0002,-0.055
291.226,25.5088,9013020.0,0.0002,-0.065
298.033,5.74729,9772560.0,0.0002,-0.075
299.857,0.424319,9983370.0,0.0002,-0.085
299.996,0.0116423,9999550.0,0.0002,-0.095
300.0,0.000148046,9999990.0,0.0002,-0.105
300.0,1.01546e-06,10000000.0,0.0002,-0.115
300.0,4.15083e-09,10000000.0,0.0002,-0.125
300.0,1.09561e-11,10000000.0,0.0002,-0.135
300.0,3.85833e-13,10000000.0,0.0002,-0.145
300.0,5.70711e-13,10000000.0,0.0002,-0.155
300.0,1.04496e-13,10000000.0,0.0002,-0.165
300.0,1.76839e-13,10000000.0,0.0002,-0.175
300.0,2.81336e-13,10000000.0,0.0002,-0.185
300.0,2.17031e-13,10000000.0,0.0002,-0.195
300.0,2.97415e-13,10000000.0,0.0002,-0.205
300.0,4.17987e-13,10000000.0,0.0002,-0.215
300.0,4.26025e-13,10000000.0,0.0002,-0.225
300.0,7.55592e-13,10000000.0,0.0002,-0.235
300.0,6.43054e-13,10000000.0,0.0002,-0.245
300.0,7.31477e-13,10000000.0,0.0002,-0.255
300.0,4.82305e-14,10000000.0,0.0002,-0.265
300.0,5.70711e-13,10000000.0,0.0002,-0.275
300.0,1.20573e-13,10000000.0,0.0002,-0.285
300.0,1.02889e-12,10000000.0,0.0002,-0.295
300.0,1.12534e-13,10000000.0,0.0002,-0.305
300.0,2.08992e-13,10000000.0,0.0002,-0.315
300.0,3.69757e-13,10000000.0,0.0002,-0.325
300.0,6.43052e-13,10000000.0,0.0002,-0.335
300.0,3.61718e-13,10000000.0,0.0002,-0.345
300.0,6.43061e-14,10000000.0,0.0002,-0.355
300.0,4.09949e-13,10000000.0,0.0002,-0.365
300.0,1.12533e-13,10000000.0,0.0002,-0.375
300.0,8.9224e-13,10000000.0,0.0002,-0.385
300.0,3.37607e-13,10000000.0,0.0002,-0.395
300.0,1.68804e-13,10000000.0,0.0002,-0.405
300.0,4.82291e-13,10000000.0,0.0002,-0.415
300.0,1.10123e-12,10000000.0,0.0002,-0.425
300.0,2.00955e-13,10000000.0,0.0002,-0.435
300.0,3.21526e-13,10000000.0,0.0002,-0.445
300.0,1.10123e-12,10000000.0,0.0002,-0.455
300.0,1.92913e-13,10000000.0,0.0002,-0.465
300.0,1.68801e-13,10000000.0,0.0002,-0.475
300.0,8.35971e-13,10000000.0,0.0002,-0.485
300.0,3.05453e-13,10000000.0,0.0002,-0.495
300.0,4.09948e-13,10000000.0,0.0002,-0.505
300.0,8.68123e-13,10000000.0,0.0002,-0.515
300.0,8.4401e-13,10000000.0,0.0002,-0.525
300.0,2.41146e-13,10000000.0,0.0002,-0.535
300.0,7.79703e-13,10000000.0,0.0002,-0.545
300.0,8.76162e-13,10000000.0,0.0002,-0.555
300.0,2.97412e-13,10000000.0,0.0002,-0.565
300.0,6.75208e-13,10000000.0,0.0002,-0.575
300.0,8.35967e-13,10000000.0,0.0002,-0.585
300.0,2.57222e-13,10000000.0,0.0002,-0.595
300.0,7.23448e-14,10000000.0,0.0002,-0.605
300.0,2.73299e-13,10000000.0,0.0002,-0.615
300.0,4.34063e-13,10000000.0,0.0002,-0.625
300.0,8.27935e-13,10000000.0,0.0002,-0.635
300.0,2.73297e-13,10000000.0,0.0002,-0.645
300.0,1.44689e-13,10000000.0,0.0002,-0.655
300.0,4.01917e-14,10000000.0,0.0002,-0.665
300.0,1.28612e-13,10000000.0,0.0002,-0.675
300.0,4.82264e-14,10000000.0,0.0002,-0.685
300.0,8.842e-13,10000000.0,0.0002,-0.695
300.0,8.44008e-13,10000000.0,0.0002,-0.705
300.0,2.57224e-13,10000000.0,0.0002,-0.715
300.0,1.92915e-13,10000000.0,0.0002,-0.725
300.0,2.57221e-13,10000000.0,0.0002,-0.735
300.0,4.90329e-13,10000000.0,0.0002,-0.745
300.0,7.31476e-13,10000000.0,0.0002,-0.755
300.0,1.36649e-13,10000000.0,0.0002,-0.765
300.0,2.41144e-14,10000000.0,0.0002,-0.775
300.0,4.82322e-14,10000000.0,0.0002,-0.785
300.0,4.66215e-13,10000000.0,0.0002,-0.795
300.0,8.84207e-14,10000000.0,0.0002,-0.805
300.0,1.84874e-13,10000000.0,0.0002,-0.815
300.0,2.57225e-13,10000000.0,0.0002,-0.825
300.0,2.00956e-13,10000000.0,0.0002,-0.835
300.0,5.7875e-13,10000000.0,0.0002,-0.845
300.0,2.17033e-13,10000000.0,0.0002,-0.855
300.0,2.00958e-13,10000000.0,0.0002,-0.865
300.0,1.28613e-13,10000000.0,0.0002,-0.875
300.0,3.77793e-13,10000000.0,0.0002,-0.885
300.0,7.23449e-14,10000000.0,0.0002,-0.895
300.0,2.57224e-13,10000000.0,0.0002,-0.905
300.0,1.68802e-13,10000000.0,0.0002,-0.915
300.0,6.35015e-13,10000000.0,0.0002,-0.925
300.0,1.19769e-12,10000000.0,0.0002,-0.935
300.0,6.02864e-13,10000000.0,0.0002,-0.945
300.0,1.44687e-12,10000000.0,0.0002,-0.955
300.0,1.31023e-12,10000000.0,0.0002,-0.965
300.0,4.82292e-13,10000000.0,0.0002,-0.975
300.0,5.78751e-13,10000000.0,0.0002,-0.985
300.0,1.262e-12,10000000.0,0.0002,-0.995
300.0,3.21522e-13,5000000.0,0.0004,0.995
300.0,1.52729e-13,5000000.0,0.0004,0.985
300.0,8.44013e-13,5000000.0,0.0004,0.975
300.0,1.04497e-12,5000000.0,0.0004,0.965
300.0,1.13338e-12,5000000.0,0.0004,0.955
300.0,7.23487e-14,5000000.0,0.0004,0.945
300.0,6.35028e-13,5000000.0,0.0004,0.935
300.0,4.82234e-14,5000000.0,0.0004,0.925
300.0,1.20572e-12,5000000.0,0.0004,0.915
300.0,1.46296e-12,5000000.0,0.0004,0.905
300.0,1.21376e-12,5000000.0,0.0004,0.895
300.0,3.69764e-13,5000000.0,0.0004,0.885
300.0,2.57223e-13,5000000.0,0.0004,0.875
300.0,1.68805e-13,5000000.0,0.0004,0.865
300.0,3.13486e-13,5000000.0,0.0004,0.855
300.0,3.93865e-13,5000000.0,0.0004,0.845
300.0,3.29563e-13,5000000.0,0.0004,0.835
300.0,4.01909e-13,5000000.0,0.0004,0.825
300.0,6.35029e-13,5000000.0,0.0004,0.815
300.0,6.83235e-13,5000000.0,0.0004,0.805
300.0,5.22478e-13,5000000.0,0.0004,0.795
300.0,3.21531e-13,5000000.0,0.0004,0.785
300.0,6.18937e-13,5000000.0,0.0004,0.775
300.0,6.43053e-13,5000000.0,0.0004,0.765
300.0,6.99321e-13,5000000.0,0.0004,0.755
300.0,3.21521e-13,5000000.0,0.0004,0.745
300.0,2.73309e-13,5000000.0,0.0004,0.735
300.0,5.94819e-13,5000000.0,0.0004,0.725
300.0,1.44691e-13,5000000.0,0.0004,0.715
300.0,1.84883e-13,5000000.0,0.0004,0.705
300.0,4.0192e-13,5000000.0,0.0004,0.695
300.0,3.45633e-13,5000000.0,0.0004,0.685
300.0,4.90328e-13,5000000.0,0.0004,0.675
300.0,1.36656e-13,5000000.0,0.0004,0.665
300.0,9.24398e-13,5000000.0,0.0004,0.655
300.0,1.14142e-12,5000000.0,0.0004,0.645
300.0,2.33109e-13,5000000.0,0.0004,0.635
300.0,9.32424e-13,5000000.0,0.0004,0.625
300.0,1.68796e-13,5000000.0,0.0004,0.615
300.0,4.01916e-14,5000000.0,0.0004,0.605
300.0,3.13478e-13,5000000.0,0.0004,0.595
300.0,1.28617e-13,5000000.0,0.0004,0.585
300.0,2.41197e-14,5000000.0,0.0004,0.575
300.0,6.35018e-13,5000000.0,0.0004,0.565
300.0,3.45652e-13,5000000.0,0.0004,0.555
300.0,1.48706e-12,5000000.0,0.0004,0.545
300.0,8.27931e-13,5000000.0,0.0004,0.535
300.0,1.06104e-12,5000000.0,0.0004,0.525
300.0,1.17357e-12,5000000.0,0.0004,0.515
300.0,6.26985e-13,5000000.0,0.0004,0.505
300.0,1.04505e-13,5000000.0,0.0004,0.495
300.0,1.51118e-12,5000000.0,0.0004,0.485
300.0,1.02889e-12,5000000.0,0.0004,0.475
300.0,4.26024e-13,5000000.0,0.0004,0.465
300.0,1.053e-12,5000000.0,0.0004,0.455
300.0,1.7041e-12,5000000.0,0.0004,0.445
300.0,8.03818e-13,5000000.0,0.0004,0.435
300.0,5.70707e-13,5000000.0,0.0004,0.425
300.0,4.09941e-13,5000000.0,0.0004,0.415
300.0,5.38567e-13,5000000.0,0.0004,0.405
300.0,1.32629e-12,5000000.0,0.0004,0.395
300.0,1.76832e-13,5000000.0,0.0004,0.385
300.0,9.8869e-13,5000000.0,0.0004,0.375
300.0,4.74265e-13,5000000.0,0.0004,0.365
300.0,4.42099e-13,5000000.0,0.0004,0.355
300.0,1.20568e-13,5000000.0,0.0004,0.345
300.0,7.07371e-13,5000000.0,0.0004,0.335
300.0,2.08995e-13,5000000.0,0.0004,0.325
300.0,7.71667e-13,5000000.0,0.0004,0.315
300.0,6.51093e-13,5000000.0,0.0004,0.305
300.0,5.30524e-13,5000000.0,0.0004,0.295
300.0,3.93872e-13,5000000.0,0.0004,0.285
300.0,2.17037e-13,5000000.0,0.0004,0.275
300.0,5.78751e-13,5000000.0,0.0004,0.265
300.0,2.41145e-13,5000000.0,0.0004,0.255
300.0,5.46601e-13,5000000.0,0.0004,0.245
300.0,1.76853e-13,5000000.0,0.0004,0.235
300.0,1.5996e-11,5000000.0,0.0004,0.225
300.0,2.76884e-09,5000000.0,0.0004,0.215
300.0,3.81e-07,5000000.0,0.0004,0.205
300.0,4.21877e-05,5000000.0,0.0004,0.195
300.001,0.00384389,5000070.0,0.0004,0.185
300.098,0.29992,5005730.0,0.0004,0.175
305.72,17.006,5339070.0,0.0004,0.165
329.232,81.3443,6893790.0,0.0004,0.155
330.511,85.0649,6986160.0,0.0004,0.145
330.732,85.7189,7002240.0,0.0004,0.135
330.789,85.8925,7006340.0,0.0004,0.125
330.811,85.9475,7007570.0,0.0004,0.115
330.824,85.9661,7007910.0,0.0004,0.105
330.838,85.9727,7008000.0,0.0004,0.095
330.86,85.9729,7008130.0,0.0004,0.085
330.896,85.9723,7008210.0,0.0004,0.075
330.963,85.9731,7008280.0,0.0004,0.065
331.086,85.9726,7008380.0,0.0004,0.055
330.45,85.9757,7008580.0,0.0004,0.045
307.913,85.9522,7008970.0,0.0004,0.035
270.956,85.9612,7008970.0,0.0004,0.025
271.283,85.9683,7008790.0,0.0004,0.015
271.191,85.9638,7008950.0,0.0004,0.005
271.155,85.9585,7009160.0,0.0004,-0.005
271.131,85.9523,7009410.0,0.0004,-0.015
271.114,85.9433,7009730.0,0.0004,-0.025
271.105,85.9289,7010200.0,0.0004,-0.035
271.097,85.917,7010580.0,0.0004,-0.045
271.074,85.9631,7009300.0,0.0004,-0.055
270.98,86.2348,7001460.0,0.0004,-0.065
270.967,86.2508,7001080.0,0.0004,-0.075
271.784,83.7289,7076470.0,0.0004,-0.085
274.436,75.6466,7322140.0,0.0004,-0.095
278.713,62.7165,7729750.0,0.0004,-0.105
283.844,47.3497,8239330.0,0.0004,-0.115
289.222,31.4173,8798640.0,0.0004,-0.125
294.291,16.5695,9350240.0,0.0004,-0.135
298.075,5.59217,9777560.0,0.0004,-0.145
299.668,0.972264,9961360.0,0.0004,-0.155
299.971,0.085101,9996650.0,0.0004,-0.165
299.999,0.00413728,9999840.0,0.0004,-0.175
300.0,0.000123337,10000000.0,0.0004,-0.185
300.0,2.42027e-06,10000000.0,0.0004,-0.195
300.0,3.29009e-08,10000000.0,0.0004,-0.205
300.0,3.23151e-10,10000000.0,0.0004,-0.215
300.0,1.79252e-12,10000000.0,0.0004,-0.225
300.0,2.41142e-13,10000000.0,0.0004,-0.235
300.0,5.46597e-13,10000000.0,0.0004,-0.245
300.0,4.90328e-13,10000000.0,0.0004,-0.255
300.0,1.28614e-13,10000000.0,0.0004,-0.265
300.0,8.03567e-15,10000000.0,0.0004,-0.275
300.0,2.81336e-13,10000000.0,0.0004,-0.285
300.0,2.73298e-13,10000000.0,0.0004,-0.295
300.0,4.98369e-13,10000000.0,0.0004,-0.305
300.0,2.97414e-13,10000000.0,0.0004,-0.315
